Backend,Mode,Shards,Payload,OfferedRate,Completed,Backlog,MidpointBacklog,Seconds,InjectedLatencyMS,Throughput,AckP50US,AckP95US,AckP99US,CoordinationOpsPerRecord,CPUSeconds,AllocBytesPerRecord,AllocsPerRecord,HeapBytes
valkey,async,1,1024,1157,5780,5,3,5,0,1156,421.792,735.084,1403.666,1.011073,1.299618,4844.541176,51.832353,15572608
valkey,async,1,1024,2314,11563,7,5,5,0,2312.6,280.417,348.375,553.042,1.010637,1.068168,3697.280637,36.372914,12040728
valkey,async,1,1024,5785,28904,21,14,5,0,5780.8,132.208,179.916,445.292,1.010172,1.513466,2868.972045,25.80712,22055168
valkey,async,1,16384,1157,5779,6,3,5,0,1155.8,421.542,619.541,1294.708,1.011075,1.267255,20714.455788,53.327911,19410344
valkey,async,1,16384,2314,11564,6,6,5,0,2312.8,291.666,337.25,457.416,1.010723,1.071094,19191.300588,36.770581,20694480
valkey,async,1,16384,5785,28908,17,16,5,0,5781.6,136.042,171.166,414.625,1.01017,1.552948,18239.187215,25.799329,12827888
valkey,async,4,1024,1157,5783,2,3,5,0,1156.6,428.125,684.125,1293.708,1.012104,1.590035,11576.782985,155.525506,14834064
valkey,async,4,1024,1157,2996,2789,1395,5,1,599.2,1611.417,2034.333,2671.25,1.01769,1.430622,22417.492657,297.669226,22228056
valkey,async,4,1024,2314,11560,10,7,5,0,2312,280,339.375,534.958,1.011419,1.269986,7410.42699,97.231747,21743520
valkey,async,4,1024,2314,2795,8775,4347,5,1,559,1740.208,2158.458,2767.041,1.018962,1.017461,16861.020394,191.612165,28227480
valkey,async,4,1024,5785,28905,20,11,5,0,5781,149.042,183.208,376.458,1.010829,1.770251,3884.941152,44.942017,16598584
valkey,async,4,1024,5785,2696,26229,13090,5,1,539.2,1795.792,2235.5,2738.75,1.019659,0.81022,11700.332344,102.053042,25898080
valkey,async,4,16384,1157,5782,3,4,5,0,1156.4,437.042,704.708,1312.667,1.012452,1.616011,26953.12487,155.659979,18914120
valkey,async,4,16384,2314,11562,8,7,5,0,2312.4,288.5,339.416,528.041,1.011503,1.271499,22783.034769,97.265525,23577840
valkey,async,4,16384,5785,28909,16,15,5,0,5781.8,145.875,185.459,370.917,1.010723,1.871042,19255.862465,44.94628,14897552
valkey,automatic,1,1024,1157,5785,0,1,5,0,1157,0,0,0,0.010199,0.271089,3377.059291,28.256698,12135864
valkey,automatic,1,1024,2314,11568,2,3,5,0,2313.6,0,0,0,0.010028,0.355561,2670.681189,19.385979,14183560
valkey,automatic,1,1024,5785,28920,5,1,5,0,5784,0,0,0,0.009751,0.442704,2109.241217,13.35408,19318608
valkey,automatic,1,16384,1157,5785,0,1,5,0,1157,0,0,0,0.010199,0.330908,19222.303198,29.609853,18185336
valkey,automatic,1,16384,2314,11570,0,0,5,0,2314,0,0,0,0.010026,0.47655,17911.470354,18.95255,11493776
valkey,automatic,1,16384,5785,28923,2,0,5,0,5784.6,0,0,0,0.00975,0.638218,17374.135463,13.035992,10244744
valkey,automatic,4,1024,1157,5784,1,0,5,0,1156.8,0,0,0,1.00121,1.897685,8013.763485,107.694502,21394840
valkey,automatic,4,1024,1157,5784,1,1,5,1,1156.8,0,0,0,0.998617,1.253362,7221.907331,90.600795,14710816
valkey,automatic,4,1024,2314,11569,1,1,5,0,2313.8,0,0,0,0.821851,1.379326,5371.678797,69.181865,15265376
valkey,automatic,4,1024,2314,11568,2,1,5,1,2313.6,0,0,0,0.393413,1.274226,4323.19018,49.25147,17397200
valkey,automatic,4,1024,5785,28922,3,2,5,0,5784.4,0,0,0,0.0102,0.566375,2539.586474,23.160432,16935872
valkey,automatic,4,1024,5785,28919,6,13,5,1,5783.8,0,0,0,0.010201,0.556823,2596.854386,24.315122,20592712
valkey,automatic,4,16384,1157,5785,0,1,5,0,1157,0,0,0,0.999481,2.018177,23334.094382,106.838894,21497640
valkey,automatic,4,16384,2314,11568,2,0,5,0,2313.6,0,0,0,0.878198,1.427934,20793.625864,70.185685,19619512
valkey,automatic,4,16384,5785,28923,2,5,5,0,5784.6,0,0,0,0.010096,0.756926,17907.259966,23.244477,23870064
valkey,batch,1,1024,1157,5781,4,1,5,0,1156.2,432.458,635.292,1345.375,1.011071,1.169039,4930.001038,49.68604,11051144
valkey,batch,1,1024,2314,11567,3,3,5,0,2313.4,305.916,355.167,499.542,1.010634,1.01232,3429.024639,31.296793,14847512
valkey,batch,1,1024,5785,28918,7,5,5,0,5783.6,128.333,163.417,379.625,1.010167,1.445667,2558.169998,18.791203,12918880
